"document_id","field_name","status","answer_raw","answer_normalized","matched_expression","representative_source_type","representative_location","source_excerpt_redacted","additional_locations","confidence","review_reason","decision_note","source_review_completed","source_review_method","reviewer","source_context_note","discarded_candidates","discarded_reason"
"RFP-000002","컨소시엄 요건","value_present","(공동이행방식)은 허용하지 않음","(공동이행방식)은 허용하지 않음","공동수급","body_sentence","{""document_id"":""RFP-000002"",""file"":""(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.md"",""heading"":""사. 공동수급(공동이행방식)은 허용하지 않음"",""line"":1456}","사. 공동수급(공동이행방식)은 허용하지 않음","","semantic_reviewed","","부정문 안의 '허용'을 허용 신호로 세지 않고 공동이행 불허 하나로 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","공동수급 정책 본문에서 공동이행방식을 명시적으로 불허함","허용","'허용하지 않음'의 부정 범위 안 부분문자"
"RFP-000063","컨소시엄 요건","value_present","본 사업은 공동수급(공동이행방식)을 허용하지 않음","본 사업은 공동수급(공동이행방식)을 허용하지 않음","공동수급","body_sentence","{""document_id"":""RFP-000063"",""file"":""축산물품질평가원_꿀 품질평가 전산시스템 기능개선 사업.md"",""heading"":""### ◦ 본 사업은 공동수급(공동이행방식)을 허용하지 않음"",""line"":1183}","### ◦ 본 사업은 공동수급(공동이행방식)을 허용하지 않음","","semantic_reviewed","","평가표의 공동수급 언급을 버리고 사업 정책의 불허 문장으로 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","공동수급 허용 여부 절의 바로 다음 정책 문장","공동수급체의 경우 구성원별 실적에 지분율","허용 여부가 아닌 평가 방법"
"RFP-000045","컨소시엄 요건","value_present","공동수급체는 공동이행 방식만 허용하며, 분담이행 방식은 불허한다.","공동수급체는 공동이행 방식만 허용하며, 분담이행 방식은 불허한다.","공동수급","body_sentence","{""document_id"":""RFP-000045"",""file"":""수협중앙회_강릉어선안전조업국 상황관제시스템 구축.md"",""heading"":""○ 공동수급체는 공동이행 방식만 허용하며, 분담이행 방식은 불허한다."",""line"":742}","○ 공동수급체는 공동이행 방식만 허용하며, 분담이행 방식은 불허한다.","","semantic_reviewed","","허용 범위를 제한한 조건부 허용 하나이며 상호 충돌이 아님","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","공동수급체 구성 조건 절의 허용 방식 제한 문장","허용/불허 충돌","서로 다른 이행방식에 대한 일관된 조건"
"RFP-000097","사업기간","value_present","체결일로부터 5개월 이내","체결일로부터 5개월 이내","사업기간","front_matter","{""document_id"":""RFP-000097"",""file"":""한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.md"",""heading"":""2. 사업기간 : 체결일로부터 5개월 이내"",""line"":78}","2. 사업기간 : 체결일로부터 5개월 이내","","semantic_reviewed","","현재 발주 사업기간으로 확정하고 기존 시스템 개발 이력은 제외","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","사업 개요의 사업기간 명시값","(개발기간) ’13. 1.∼’15. 3. (2년 2개월)","과거 시스템 개발 이력"
"RFP-000100","과업 범위","value_present","향후 변화하는 발주기관의 특성을 고려한 확장 가능한 시스템 구성; 트랙기반 교육과정 운영체제와 종합정보시스템 연계; 개인정보보호와 데이터 정합성·권한 관리를 고려한 시스템 구축","[""향후 변화하는 발주기관의 특성을 고려한 확장 가능한 시스템 구성; 트랙기반 교육과정 운영체제와 종합정보시스템 연계; 개인정보보호와 데이터 정합성·권한 관리를 고려한 시스템 구축""]","제안 요청 내용","front_matter","{""document_id"":""RFP-000100"",""file"":""한영대학_한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보.md"",""heading"":""# Ⅲ. 제안 요청 내용"",""line"":121}","# Ⅲ. 제안 요청 내용
## 1. 제안 요청 개요
◦ 향후 변화하는 발주기관의 특성을 고려하여 능동적이고 효율적인 시스템으로 구성하여야 한다.
◦ 트랙기반 교육과정 운영체제 구축에 따른 한영대학교 종합정보시스템 기능을 연계하여야 한다.
◦ 개인정보보호를 고려하여 시스템 설계를 하여야 한다.
◦ 구성원별(교수/직원/조교 등), 소속부서와 업무분장에 따라 체계적인 계정 및 권한을 관리할 수 있도록 구축되어야 한다.","[{""heading"":""## 1. 제안 요청 개요"",""line"":123,""source_type"":""front_matter""},{""heading"":""◦ 향후 변화하는 발주기관의 특성을 고려하여 능동적이고 효율적인 시스템으로 구성하여야 한다."",""line"":125,""source_type"":""front_matter""},{""heading"":""◦ 트랙기반 교육과정 운영체제 구축에 따른 한영대학교 종합정보시스템 기능을 연계하여야 한다."",""line"":135,""source_type"":""front_matter""},{""heading"":""◦ 개인정보보호를 고려하여 시스템 설계를 하여야 한다."",""line"":141,""source_type"":""front_matter""},{""heading"":""◦ 구성원별(교수/직원/조교 등), 소속부서와 업무분장에 따라 체계적인 계정 및 권한을 관리할 수 있도록 구축되어야 한다."",""line"":149,""source_type"":""front_matter""}]","semantic_reviewed","","상위 제목 다음 동급 제목 전까지의 실제 하위 요구 내용을 과업 범위로 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","Ⅲ절 아래 1. 제안 요청 개요의 하위 요구사항 전체를 검토한 의미 요약","Ⅰ. 사업 안내 ... Ⅲ. 제안 요청 내용 4","앞부분 목차와 쪽수"
"RFP-000085","참가 자격(면허·실적)","field_absent","","","입찰 참가자격","","","","","semantic_reviewed","","문서 내 유일한 참가자격 표현은 위반 시 처벌이며 실제 참가 자격이 아님","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","계약상대자의 사업비 산정 위반 시 제재 문장; 입찰 단계 자격 절은 없음","정부사업 입찰 참가자격 제한 등의 불이익","처벌 결과이지 참가 요건이 아님"
"RFP-000065","제출 방식","external_reference","기한 및 방법: 입찰공고문 참조","기한 및 방법: 입찰공고문 참조","제안서 제출","body_sentence","{""document_id"":""RFP-000065"",""file"":""케빈랩 주식회사_평택시 강소형 스마트시티 AI 기반의 영상감시 시스템 .md"",""heading"":""### 나. 제안서 제출 기한 및 방법: 입찰공고문 참조"",""line"":948}","### 나. 제안서 제출 기한 및 방법: 입찰공고문 참조","","semantic_reviewed","현재 문서에는 제출 방식의 실제 값 대신 ‘기한 및 방법: 입찰공고문 참조’라고 안내되어 있습니다. 실제 값은 입찰공고문을 확인해 주세요.","실제 제출 방식은 외부 입찰공고문에만 있으므로 정상 외부 참조로 안내","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","제안서 제출 절이 방법을 입찰공고문으로 위임","field_absent","항목과 외부 참조 증거가 실제로 존재"
"RFP-000096","제출 방식","external_reference","입찰공고문 참조","입찰공고문 참조","제안서 제출방법","body_sentence","{""document_id"":""RFP-000096"",""file"":""한국철도공사 (용역)_모바일오피스 시스템 고도화 용역(총체 및 1차).md"",""heading"":""### ◦ 제안서 제출방법 : 입찰공고문 참조"",""line"":2725}","### ◦ 제안서 제출방법 : 입찰공고문 참조","","semantic_reviewed","현재 문서에는 제출 방식의 실제 값 대신 ‘입찰공고문 참조’라고 안내되어 있습니다. 실제 값은 입찰공고문을 확인해 주세요.","실제 제출 방식은 외부 입찰공고문에만 있으므로 정상 외부 참조로 안내","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","제안서 제출방법 항목의 값이 입찰공고문 참조뿐임","field_absent","항목과 외부 참조 증거가 실제로 존재"
"RFP-000013","컨소시엄 요건","value_present","공동수급(공동이행방식) 가능; 참여자는 입찰참가자격을 모두 충족하고 공동수급협정서를 제출; 5개사 이내, 구성원별 최소지분율 10% 이상","공동수급(공동이행방식) 가능; 참여자는 입찰참가자격을 모두 충족하고 공동수급협정서를 제출; 5개사 이내, 구성원별 최소지분율 10% 이상","공동수급","attachment_form","{""document_id"":""RFP-000013"",""file"":""고려대학교_차세대 포털·학사 정보시스템 구축사업.md"",""heading"":""### 6) 본 사업은 공동수급(공동이행방식)이 가능함. 공동수급체 구성원은 국가를 당"",""line"":3979}","### 6) 본 사업은 공동수급(공동이행방식)이 가능함. 공동수급체 구성원은 국가를 당
### 사자로 하는 계약에 관한 법률 시행령 제12조 및 동법 시행규칙 제14조 규정
### 에 저촉되지 않아야 함
### - 공동수급업체 참여자는 입찰참가자격을 모두 충족하여야 함
### - 공동수급협정서를 제출하여야 함
### - 공동수급자는 5개 이내로 구성하며, 구성원별 계약참여 최소지분율은 10%
### 이상으로 함","[{""heading"":""### 사자로 하는 계약에 관한 법률 시행령 제12조 및 동법 시행규칙 제14조 규정"",""line"":3981,""source_type"":""attachment_form""},{""heading"":""### 에 저촉되지 않아야 함"",""line"":3983,""source_type"":""attachment_form""},{""heading"":""### - 공동수급업체 참여자는 입찰참가자격을 모두 충족하여야 함"",""line"":3985,""source_type"":""attachment_form""},{""heading"":""### - 공동수급협정서를 제출하여야 함"",""line"":3987,""source_type"":""attachment_form""},{""heading"":""### - 공동수급자는 5개 이내로 구성하며, 구성원별 계약참여 최소지분율은 10%"",""line"":3989,""source_type"":""attachment_form""},{""heading"":""### 이상으로 함"",""line"":3991,""source_type"":""attachment_form""}]","semantic_reviewed","","PDF 변환 시 같은 ### 단계로 잘린 연속 문장을 결합해 조건 전체를 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","공동수급 가능 문장과 바로 이어지는 참가자격·협정서·구성원수·지분율 조건","공동수급체의 경우 실적에 지분율","평가 산식이지 허용 조건이 아님"
"RFP-000039","평가 배점","value_present","기술능력평가 90점(정성평가 70점, 정량평가 20점), 입찰가격평가 10점, 합계 100점","[""기술능력평가 90점(정성평가 70점, 정량평가 20점), 입찰가격평가 10점, 합계 100점""]","제안서 평가 방법","body_table","{""document_id"":""RFP-000039"",""file"":""서영대학교 산학협력단_전문대학 혁신지원사업 서영대학교 차세대 교육.md"",""heading"":""<tr><td rowspan=\""5\"">기술<br>능력<br>평가<br>(90점)</td><td rowspan=\""5\"">정량적<br>평가<br>(20점)</td><td rowspan=\""4\"">일반현황<br>(20)</td>"",""line"":1904}","<tr><td rowspan=""5"">기술<br>능력<br>평가<br>(90점)</td><td rowspan=""5"">정량적<br>평가<br>(20점)</td><td rowspan=""4"">일반현황<br>(20)</td><td>경영상태</td><td>기업신용평가등급 평가</td><td>5</td><td rowspan=""5"">계약<br>담당<br>(사업<br>담당)<br>평가</td></tr>
● 정량평가(20점)
<tr><td>가격<br>평가<br>(10점)</td><td colspan=""3"">입찰가격평가(10)</td><td>입찰 가격 평점산식에 의거 산정</td><td>10</td><td></td></tr>
<tr><td></td><td colspan=""4"">합계</td><td>100</td><td></td>","[{""heading"":""● 정량평가(20점)"",""line"":1900,""source_type"":""body_table""},{""heading"":""<tr><td>가격<br>평가<br>(10점)</td><td colspan=\""3\"">입찰가격평가(10)</td><td>입찰 가격 평점산식에 의거 산정</td><td>10</td><td></td></tr>"",""line"":1909,""source_type"":""body_table""},{""heading"":""<tr><td></td><td colspan=\""4\"">합계</td><td>100</td><td></td></tr>"",""line"":1910,""source_type"":""body_table""}]","semantic_reviewed","","분리된 평가표 행을 함께 읽어 전체 기술·가격 배점을 확정","true","태윤님 측 LLM 원문 검수","태윤님 측 LLM","기술능력평가 90점 표와 가격평가 10점·합계 100점 행을 함께 검토","배점한도의 85% 이상","협상적격 문턱이지 전체 평가비율이 아님"
